leaid,district_name,fips_state,total_revenue,federal_revenue,state_local_revenue,state_abbr,saipe_district_name,total_pop,child_poverty_est,child_pop,pct_child_poverty
4838040,ROTAN IND SCH DIST 904,48,6667,324,6343,TX,Rotan Independent School District,1740,64,272,23.53
4821540,GRANDVIEW IND SCH DIST 904,48,20355,783,19572,TX,Spur Independent School District,1443,36,179,20.11
4821540,GRANDVIEW IND SCH DIST 904,48,20355,783,19572,TX,Grandview Independent School District,6392,82,1350,6.07
4837800,ROOSEVELT IND SCH DIST 908,48,20763,2029,18734,TX,Rocksprings Independent School District,1163,62,189,32.80
4837800,ROOSEVELT IND SCH DIST 908,48,20763,2029,18734,TX,Roosevelt Independent School District,5580,170,1064,15.98
4845120,WEST OSO IND SCH DIST 915,48,30285,5244,25041,TX,West Oso Independent School District,7998,449,1572,28.56
4824960,JOURDANTON IND SCH DIST 902,48,24420,2199,22221,TX,Spur Independent School District,1443,36,179,20.11
4824960,JOURDANTON IND SCH DIST 902,48,24420,2199,22221,TX,Jourdanton Independent School District,6976,248,1351,18.36
4817850,EAST CENTRAL IND SCH DISTRICT 911,48,152990,16532,136458,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4817850,EAST CENTRAL IND SCH DISTRICT 911,48,152990,16532,136458,TX,East Central Independent School District,65936,1934,12890,15.00
4836450,RANDOLPH FIELD IND SCHOOL DISTRICT 906,48,27160,11242,15918,TX,Rocksprings Independent School District,1163,62,189,32.80
4836450,RANDOLPH FIELD IND SCHOOL DISTRICT 906,48,27160,11242,15918,TX,Randolph Field Independent School District,1355,8,368,2.17
4841970,SWEENY IND SCH DIST 906,48,41639,3969,37670,TX,Sweeny Independent School District,11304,253,2076,12.19
4811790,BRYAN IND SCH DISTRICT 902,48,259308,44490,214818,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4811790,BRYAN IND SCH DISTRICT 902,48,259308,44490,214818,TX,Alvarado Independent School District,24692,509,4554,11.18
4811790,BRYAN IND SCH DISTRICT 902,48,259308,44490,214818,TX,Bryan Independent School District,110488,3674,18445,19.92
4817790,EARLY IND SCH DIST 909,48,16187,1907,14280,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4817790,EARLY IND SCH DIST 909,48,16187,1907,14280,TX,Early Independent School District,5623,125,879,14.22
4809750,BELLEVUE IND SCH DIST 904,48,4201,207,3994,,,,,,
4839210,SANTA ANNA IND SCH DIST 903,48,4840,701,4139,TX,Rocksprings Independent School District,1163,62,189,32.80
4839210,SANTA ANNA IND SCH DIST 903,48,4840,701,4139,TX,Santa Anna Independent School District,1593,68,308,22.08
4829850,MCKINNEY IND SCH DISTRICT 907,48,379622,22290,357332,TX,Spur Independent School District,1443,36,179,20.11
4829850,MCKINNEY IND SCH DISTRICT 907,48,379622,22290,357332,TX,McKinney Independent School District,159312,1929,29224,6.60
4835100,PLANO IND SCH DIST 910,48,793249,56768,736481,TX,Rocksprings Independent School District,1163,62,189,32.80
4835100,PLANO IND SCH DIST 910,48,793249,56768,736481,TX,Plano Independent School District,426866,4316,63974,6.75
