ceeb,school_name,state,sector,rigor_score_default,rigor_tier_default,rigor_score_scenarioA,rigor_tier_scenarioA,ib_intensity_v2
053488,Montclair College Prep School,,private,,,,,
053490,Tehachapi High,CA,public,-0.4537977274606317,Average,-0.4473497857170622,Average,0.0
053494,Tehachapi Christian School,,private,,,,,
053495,Temple City High,CA,public,0.7075917917182897,Very Demanding,0.5552033481749103,Demanding,0.0
053496,Tecate Christian School,,private,,,,,
053498,Rancho Vista High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053499,Temecula Valley High,CA,public,-0.1591311841793396,Average,-0.1918961787677673,Average,0.0
053500,Templeton High,CA,public,0.4670886407710756,Demanding,0.39279174765982366,Demanding,0.0
053501,La Reina High School,,private,0.9565292811988214,Very Demanding,0.9565292811988214,Very Demanding,
053502,Thousand Oaks High,CA,public,0.533745230690941,Very Demanding,0.4444658962033954,Demanding,0.0
053503,Westlake High,CA,public,1.0384547843208911,Very Demanding,0.791812107735195,Very Demanding,0.0
053504,Hillcrest Christian School,,private,,,,,
053505,Sierra High,CA,public,-0.1180830650902228,Average,-0.11244633909253082,Average,0.0
053510,Tomales High,CA,public,0.11391396856048307,Demanding,-0.14225762563853953,Average,0.0
053512,Bishop Montgomery High School,,private,0.014308386760695287,Demanding,0.014308386760695287,Demanding,
053513,Robert H. Lewis Continuation,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053515,Carson Senior High,CA,public,-0.6472308069110585,Average,-0.6163593619322546,Below Average,0.0
053517,Shery (Kurt T.) High (Continuation),CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053520,North High,CA,public,0.0663167551218797,Demanding,0.010070801076223969,Demanding,0.0
053521,West High,CA,public,0.5979487453077537,Very Demanding,0.48983759014171246,Demanding,0.0
053522,South High,CA,public,0.7539856635194785,Very Demanding,0.6212734701651883,Very Demanding,0.0
053523,Torrance High,CA,public,0.09779711146609363,Demanding,0.011705502803614216,Demanding,0.0
053524,Deuel Vocational Institution,,private,,,,,
053525,Tracy High,CA,public,-0.6656554558235699,Average,-0.5606780291065129,Average,0.008625646923519264
053527,Vermont Christian School,,private,,,,,
053529,School Of Life,,private,,,,,
053530,Tranquillity High,CA,public,-0.2147424543478238,Average,-0.18649738459869786,Average,0.0
053532,Merrill F. West High,CA,public,-0.3318586721729908,Average,-0.32542150836301675,Average,0.0
053533,Vanden High,CA,public,-0.2603863390392226,Average,-0.2503632240688732,Average,0.0
053534,Pioneer Point Christian Acad,,private,,,,,
053535,Trona High,CA,public,-0.41405858742535523,Average,-0.529298357019616,Average,0.0
053536,Christian Fellowship Acad,,private,,,,,
053537,North Tahoe High,CA,public,-0.19383045906881244,Average,-0.12082305605043064,Average,0.0
053538,Sigma School,,private,,,,,
053539,Chaparral High,CA,public,0.021324303670449362,Demanding,0.022704213150799273,Demanding,0.0
053540,Tahoe Truckee High,CA,public,0.036721412230607584,Demanding,-0.05476355620302652,Average,0.0
053541,Vianney Academy,,private,,,,,
053545,Verdugo Hills Senior High,CA,public,0.23463600972799503,Demanding,0.17913144444913626,Demanding,0.0
053546,Mt. Lukens Continuation,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053547,Lake Arrowhead Christian Sch,,private,,,,,
053550,Tulare Union High,CA,public,-0.6695000237120039,Average,-0.6532263945534731,Below Average,0.0
053552,Tulare Western High,CA,public,-0.7029191671153634,Average,-0.6793950156730308,Below Average,0.0
053554,Temecula Christian School,,private,,,,,
053555,Tulelake High,CA,public,0.4373788347224333,Demanding,0.6713583167135838,Very Demanding,0.0
053556,Templeton Hills Christian Sch,,private,,,,,
