ncessch,school_name,city,state,zip,school_level,total_students,frl_students,pupil_teacher_ratio,rcdts,summative_designation,title_i_status,isbe_enrollment,district_total_revenue,district_federal_revenue,state_child_poverty_est,state_child_pop
1705886,Thomas Early Childhood Center,Chicago,IL ,60609,Prekindergarten,123,73,7.94,15-016-2990-25-3787,,Title 1 Schoolwide,127,,,267982,2037081
1703762,Thomas Edison Elem School,Morton Grove,IL ,60053,Elementary,605,360,13.15,05-016-0690-02-2001,Commendable,Title 1 Schoolwide,602,,,267982,2037081
1700448,Thomas Elementary School,Carbondale,IL ,62901,Elementary,400,300,13.77,30-039-0950-02-2003,Commendable,Title 1 Schoolwide,395,,,267982,2037081
1705968,Thomas Jefferson Elem Sch,Joliet,IL ,60431,Elementary,646,246,12.99,56-099-2020-22-2018,Commendable,Title 1 Targeted,667,,,267982,2037081
1702346,Thomas Jefferson Elem School,Joliet,IL ,60435,Elementary,235,221,8.5,56-099-0860-05-2006,Commendable,Title 1 Schoolwide,413,,,267982,2037081
1703536,Thomas Jefferson Elem School,Milan,IL ,61264,Elementary,277,201,12.2,49-081-0410-25-2017,Commendable,Title 1 Schoolwide,328,,,267982,2037081
1702014,Thomas Jefferson Jr High School,Woodridge,IL ,60517,Middle,573,255,10.95,19-022-0680-02-1001,Commendable,Title 1 Eligible but Not Served,571,,,267982,2037081
1706940,Thomas Jefferson Middle School,Hoffman Est,IL ,60192,Middle,621,72,15,05-016-0150-04-1020,Commendable,Not a Participant in Title One Program,607,,,267982,2037081
1700920,Thomas Kelly College Preparatory,Chicago,IL ,60632,High,1762,1655,14.27,15-016-2990-25-0022,Commendable,Title 1 Schoolwide,1594,,,267982,2037081
1704504,Thomas Metcalf School,Normal,IL ,61790,Elementary,459,32,8.69,65-108-9010-80-2001,,Not a Participant in Title One Program,476,,,267982,2037081
1700106,Thomas Middle School,Arlington Heights,IL ,60004,Middle,1024,164,13.27,05-016-0250-02-1015,Commendable,Title 1 Eligible but Not Served,1014,,,267982,2037081
1704014,Thomas Paine Elem School,Urbana,IL ,61802,Elementary,324,233,9.26,09-010-1160-22-2008,Comprehensive,Title 1 Schoolwide,342,,,267982,2037081
1703359,Thomas S Baldwin Elem Sch,Quincy,IL ,62301,Elementary,564,365,14.09,,,,,,,267982,2037081
1706292,Thome Ed School,Rock Falls,IL ,61071,Other,0,,0,,,,,,,267982,2037081
1704929,Thompson Instructional Center,Joliet,IL ,60433,Elementary,0,,0,,,,,,,267982,2037081
1703133,Thompson Jr High School,Oswego,IL ,60543,Middle,832,350,16.81,24-047-3080-26-1003,Commendable,Title 1 Targeted,722,,,267982,2037081
1703859,Thompson Middle School,Saint Charles,IL ,60174,Middle,1364,259,13.66,31-045-3030-26-1011,Commendable,Title 1 Ineligible Due to Ranking,1355,,,267982,2037081
1705923,Thompsonville Grade  School,Thompsonville,IL ,62890,Elementary,204,112,14.32,21-028-1740-26-2001,Commendable,Title 1 Schoolwide,202,,,267982,2037081
1705940,Thompsonville High School,Thompsonville,IL ,62890,High,90,47,8.23,21-028-1740-26-0001,Commendable,Title 1 Schoolwide,88,,,267982,2037081
1703954,Thornridge High School,Dolton,IL ,60419,High,969,835,15.38,07-016-2050-17-0002,Commendable,Title 1 Schoolwide,797,,,267982,2037081
1703952,Thornton Fractnl No High School,Calumet City,IL ,60409,High,1425,1103,16.51,07-016-2150-17-0001,Commendable,Title 1 Schoolwide,1265,,,267982,2037081
1703953,Thornton Fractnl So High School,Lansing,IL ,60438,High,1803,1186,16.93,07-016-2150-17-0002,Commendable,Title 1 Schoolwide,1645,,,267982,2037081
1703955,Thornton Township High School,Harvey,IL ,60426,High,1697,1498,14.26,07-016-2050-17-0001,Commendable,Title 1 Schoolwide,1533,,,267982,2037081
1703956,Thornwood High School,South Holland,IL ,60473,High,1843,1355,12.89,07-016-2050-17-0003,Commendable,Title 1 Schoolwide,1691,,,267982,2037081
1701122,Thorp  J N Elem School,Chicago,IL ,60617,Elementary,296,286,11.38,15-016-2990-25-2484,Comprehensive,Title 1 Schoolwide,291,,,267982,2037081
1701123,Thorp  O A Elem Scholastic Acad,Chicago,IL ,60634,Elementary,831,308,14.58,15-016-2990-25-2486,Targeted,Title 1 Ineligible Due to Ranking,831,,,267982,2037081
1700573,Three Oaks School,Cary,IL ,60013,Elementary,443,146,10.7,44-063-0260-04-2004,Commendable,Title 1 Schoolwide,554,,,267982,2037081
1701556,Three Rivers School,Channahon,IL ,60410,Middle,268,,12.82,56-099-0170-02-2002,Exemplary,Title 1 Targeted,265,,,267982,2037081
1703605,Thurgood Marshall Elementary,Rockford,IL ,61103,Elementary,374,132,17.81,04-101-2050-25-2078,Exemplary,Title 1 Ineligible Due to Ranking,374,,,267982,2037081
1700251,Thurgood Marshall Elem School,Bellwood,IL ,60104,Elementary,229,229,12.72,06-016-0880-02-2006,Targeted,Title 1 Schoolwide,202,,,267982,2037081
1705338,Thurgood Marshall Learning Ctr,Rock Island,IL ,61201,High,0,,0,,,,,,,267982,2037081
1706242,Thurgood Marshall School,Rockford,IL ,61103,Middle,514,162,17.85,04-101-2050-25-2087,Exemplary,Title 1 Ineligible Due to Ranking,514,,,267982,2037081
1701161,Tilden Career Communty Academy HS,Chicago,IL ,60609,High,288,250,10.67,15-016-2990-25-0044,Intensive,Title 1 Schoolwide,246,,,267982,2037081
1701165,Till Elem Math & Science Academy,Chicago,IL ,60637,Elementary,370,359,15.26,15-016-2990-25-2766,Comprehensive,Title 1 Schoolwide,366,,,267982,2037081
1701124,Tilton Elem School,Chicago,IL ,60624,Elementary,244,203,12.84,15-016-2990-25-2487,Comprehensive,Title 1 Schoolwide,240,,,267982,2037081
1703515,Tilton Elem School,Rochelle,IL ,61068,Elementary,288,151,13.71,47-071-2310-04-2005,Commendable,Title 1 Schoolwide,278,,,267982,2037081
1701873,Timber Ridge Middle School,Plainfield,IL ,60586,Middle,885,355,15.36,56-099-2020-22-1003,Commendable,Title 1 Targeted,865,,,267982,2037081
1703950,Timber Ridge School,Arlington Heights,IL ,60004,Not Reported,,,,,,,,,,267982,2037081
1705615,Timber Trails Elementary School,Hoffman Estates,IL ,60192,Elementary,363,170,12.18,31-045-0460-22-2008,Commendable,Title 1 Ineligible Due to Ranking,383,,,267982,2037081
1700367,Tinley Park High School,Tinley Park,IL ,60477,High,1042,,18.71,07-016-2280-16-0002,Commendable,Title 1 Targeted,972,,,267982,2037081
1700270,Tioga Elementary School,Bensenville,IL ,60106,Elementary,751,461,11.73,19-022-0020-02-2006,Commendable,Title 1 Schoolwide,736,,,267982,2037081
1706929,TJ Dempsey Therapeutic Day School,Nachusa,IL ,61057,Other,0,,0,,,,,,,267982,2037081
1702551,Todd Hall Elem School,Lincolnwood,IL ,60712,Elementary,398,,11.62,05-016-0740-02-2004,Commendable,Title 1 Targeted,383,,,267982,2037081
1703976,Tonica Grade School,Tonica,IL ,61370,Elementary,98,41,8.17,35-050-0790-04-2001,Commendable,Title 1 Schoolwide,93,,,267982,2037081
1705556,Towanda Elem School,Towanda,IL ,61776,Elementary,193,23,14.47,17-064-0050-26-2014,Exemplary,Title 1 Ineligible Due to Ranking,182,,,267982,2037081
1706038,Transition,Orland Park,IL ,60462,Not Reported,,,,,,,,,,267982,2037081
