school_id,school_name,address,city,state,zip,county,sector,charter,total_enrollment,enrollment_9_12,grad_rate_2021,crdc_ap_courses,ib_flag_v2,crdc_fte_counselors,county_median_hh_income,county_pct_child_poverty_saipe,nces_id_12,ceeb,rigor_tier_v4,audit_note
2002135,Salina Virtual Innovation Academy,811 E Iron,Salina,KS,67401,Saline County,public,2-No,50,36,,,0.0,0,65422,11.2,201137002135,,,
A1900008,BUILD UP COMMUNITY SCHOOL,222 6TH AVE SW,BIRMINGHAM,AL,35211,JEFFERSON,private,,50,50,,,0.0,,66388,18.7,,,,
4700805,Ridgedale Alternative School,4600  Ridgedale  RD,Knoxville,TN,37921,Knox County,public,2-No,50,11,,,0.0,1,74222,15.6,470222000805,,,
0602479,Mt. Tallac High,1735 Lake Tahoe Blvd.,South Lake Tahoe,CA,96150,El Dorado County,public,2-No,50,50,74.5,,0.0,0.75,108845,7.6,062064002479,,,
1207783,SECONDARY STUDENT SUCCESS CENTER 803,6300 NW 27TH AVE,MIAMI,FL,33147,Miami-Dade County,public,2-No,50,0,,,0.0,0,71753,16,120039007783,,,
1207835,TRANSITION SCHOOL,1860 GIBBONS ST E,BARTOW,FL,33830,Polk County,public,2-No,50,50,,,,,,,,,,
4029892,TULSA CLASSICAL ACADEMY HS,9815 S Sheridan Rd,Tulsa,OK,74133,Tulsa County,public,1-Yes,49,49,,,,,,,,,,
3403465,A.E. Burling High School,3600 Harris Avenue,Pennsauken,NJ,8110,Camden County,public,2-No,49,33,,,,,88755,16.6,341287003465,310880,Average,
0505193,INSTITUTE FOR THE CREATIVE ARTS SCHOOL,1101 RIVERFRONT DRIVE,FORT SMITH,AR,72901,Sebastian County,public,1-Yes,49,49,,,,,57790,16,051450005193,,,
5502707,Banner Preparatory School of Milwaukee,3517A W Courtland Ave,Milwaukee,WI,53209,Milwaukee County,public,2-No,49,40,75,,0.0,0,64435,22.1,550960002707,502382,Average,
0613848,Ripperdan Community Day,26133 Ave. 7,Madera,CA,93637,Madera County,public,2-No,49,40,50,,0.0,1,76627,25,062334013848,,,
BB240244,MESIVTA TORAS MOSHE,1 CEDARLAWN AVE,LAWRENCE,NY,11559,NASSAU,private,,49,49,,,0.0,,146202,6.1,,,,
1802810,The Match,1401 Indiana Ave.,Indianapolis,IN,46202,Marion County,public,1-Yes,49,49,,,,,66346,21.8,181324902810,,,
0403773,Eagle Online Academy,3490 W MAIN ST,THATCHER,AZ,85552,Graham County,public,2-No,49,43,,,0.0,0,67325,17.6,040841003773,,,
