guid,name,city,ceeb,ceeb_padded,suspected_counterpart_ceeb,custom_id
601c6659-2a2a-4051-968f-b02ff4cecc42,Colegio San Juan Bosco,San Juan,546000,546000,054600,0021958
1afdb026-9523-4b71-8ceb-eb69348775b9,Colegio San Miguel,Utuado,546400,546400,054640,0021814
998aa89d-1ec2-4584-a272-e4b580dfed18,Colegio San Ramon,Juana Diaz,542710,542710,054271,0021833
17fd35ec-2f83-4703-845a-9ce2c10e2945,Colegio San Vicente De Paul,San Juan,545920,545920,054592,0021951
085f99de-f2b1-4924-a55f-25e2c90a7e25,Colegio Santa Cruz,Trujillo Alto,546320,546320,054632,0022037
d297c0e6-72bf-4070-93a9-a3c4ac3576f3,Colegio Santa Rosa High School,Bayamon,540800,540800,054080,0022017
1247c159-b43b-4504-9eb3-4842f58da023,Colegio Senora Merced HS,San Juan,545200,545200,054520,0022004
42170225-11e2-452e-8712-6053aa34b49e,Coleman High School,Coleman,500440,500440,050044,0027025
9cda34f6-08ab-47a8-a722-dabb02147a77,Columbus Senior High School,Columbus,500450,500450,050045,0026982
03ddfd6d-4b96-40d6-908c-1e5fbf9c6d99,Comenius Schl Creative Lrning,Pineville,343090,343090,034309,OID13074
f09897b2-3c59-4d63-8472-4e4c20462ac5,Commonwealth-Parkville School,San Juan,544800,544800,054480,0022001
90bf052c-55fb-4377-8efa-0917c716011f,Conestee Baptist Day School,Conestee,410550,410550,041055,OID16352
ec08a442-f752-47d3-aad8-c3f6315ceb30,Contoocook Valley Regional HS,Peterborough,300490,300490,030049,0015977
b88db522-55e4-47cc-8239-c8967f2f890f,Cony High School,Augusta,200040,200040,020004,0011521
0cb83ae7-1a9e-a27d-b172-a9276d5e841f,Cornerstone Charter Academy,Orlando,102350,102350,010235,3275045
776aecf0-eb7d-4867-a498-282701346905,Coventry High School,Coventry,400030,400030,040003,0022057
8bd622ac-599e-4c1f-a34d-b5ed12f8a669,Crandon High School,Crandon,500460,500460,050046,0027142
72a8fd7e-6b5b-4862-a98a-3f7369fb4d0b,Cross High School,Cross,410600,410600,041060,OID16278
f64c14e8-5016-45c6-8508-95f4ab81f453,Crotched Mountain School,Greenfield,300230,300230,030023,0015910
f5778e43-282c-4e63-a754-4066cceb70dc,Cuba City High School,Cuba City,500470,500470,050047,0026964
6991c26e-24cb-4590-9814-9a9777dca657,Culebra High School,Culebra,541770,541770,054177,0021816
7283e59c-8506-440d-83bc-94b61a33b8da,Cumberland High School,Cumberland,500480,500480,050048,0027249
a405e023-589b-4f3e-b21c-fe81aca113fe,Cupeyville School,San Juan,544460,544460,054446,0021988
a7b8f16e-9865-49d1-b756-7b46c90b5081,D C Everest Senior High School,Schofield,502060,502060,050206,0027123
5e52594c-6429-4188-9700-db49b7a66232,Dacula High School,Dacula,110950,110950,011095,0005934
1547f6dd-0f5e-43f1-8735-92b8151f4139,Dade Christian School,Hialeah,100660,100660,010066,0005352
225816cf-dc86-4a41-9fa1-ce49e2ec249c,Darlington High School,Darlington,500490,500490,050049,0026903
4a593674-9519-4aba-acdd-48f7350336a1,De Forest Area High School,De Forest,500500,500500,050050,0026905
1535cbee-1907-0d75-6f49-8d37a66e275e,De Lasalle Academy,Fort Myers,100210,100210,010021,
5d35511c-7766-4eb5-921c-6955956f9b8b,De Soto County High School,Arcadia,100040,100040,010004,0005808
b0113263-2211-4c17-8153-04a9f7be5e9a,De Soto High School,De Soto,500530,500530,050053,0027168
48fbd405-05dd-47b6-a9f5-a599f62a59d0,Deer Isle-Stonington HS,Deer Isle,200980,200980,020098,OID16188
166851ed-131b-40a1-ad60-7d3544eb7a64,Deerfield Beach High School,Deerfield Bch,100380,100380,010038,0005553
fe29ca9f-85f9-4e76-b90b-cff68489a709,Deering High School,Portland,200810,200810,020081,0011484
6219ac9f-c901-ef6a-6a7b-27f529f48ce3,Dekalb HS Of Technology-South,Decatur,111050,111050,011105,
c7f50e37-ff20-4180-83c2-ae614b52bbac,Delavan Darien High School,Delavan,500510,500510,050051,0026760
271c831d-ee8e-4295-b7d9-98418cdc15e5,Denmark High School,Denmark,500520,500520,050052,0027059
4f2ac814-0eca-48d4-8194-0ece981f0541,Denmark High School,Alpharetta,111000,111000,011100,3251147
10983c3c-01ca-c393-c7a7-0c0131bcb4b6,Destiny Christian Academy,Cheyenne,510070,510070,051007,
95cd9458-dfbe-42d7-8049-52a9fa2800db,Dexter Regional High School,Dexter,200300,200300,020030,0011625
c5f6c161-af66-48e7-9796-f3f73485586b,Dillard High School,Ft Lauderdale,100480,100480,010048,0005486
9850a2cf-bd00-5014-fcf6-bd028bdb64bd,Distance Education Program,Saipan,529000,529000,052900,
b0edf344-307e-48f2-a8f9-4e0b4972fb8a,Divine Savior-Holy Angels HS,Milwaukee,501350,501350,050135,0026862
f28be2a0-bd8c-41ec-a0ed-cd68d3d8f8e0,Dixie County High School,Cross City,100330,100330,010033,0005189
d5386e78-c4a2-4ea1-a6b4-6ee59d22b52e,Domingo Aponte Collazo Esc Sup,Lares,542920,542920,054292,0021836
319bdcef-9df0-51aa-f3e9-42a92a52e313,Don Soffer Aventura HS,Aventura,102510,102510,010251,3478914
acc5eabf-f5d6-407f-a59e-bd0b8bb273a2,Douglas High School,Douglas,510110,510110,051011,0027611
8710a62a-de7d-40fa-b56a-df9cfb6c2e10,Dr Agustin Stahl,Bayamon,540840,540840,054084,0022021
2d80793d-9550-433e-907c-ad31596aa57d,Dr Manuel Pila Iglesia Sr HS,Ponce,543960,543960,054396,0021897
087414b3-e6b6-493b-81e9-6d522bb652e8,Dr Santiago Veve Calzada,Fajardo,541880,541880,054188,0021909
e2578558-f4e4-46d4-ac54-24c98217026e,Duncan U Fletcher HS,Neptune Beach,100800,100800,010080,0005042
91557862-a2f2-4258-a722-0a57cc5be94e,Durand High School,Durand,500550,500550,050055,0027214
05e49ef0-c437-4528-a4e0-e32b57d486ec,East Greenwich High School,East Greenwich,400040,400040,040004,0022061
7a7de9d0-566d-4b92-bc6b-62e3ac129750,East High School,Green Bay,500790,500790,050079,0027074
acf524cd-6b10-4818-aa63-5fbf3c2bcc38,East Providence High School,East Providence,400050,400050,040005,0022123
f2a66abf-fbf6-4f8e-816f-0873c82ee15d,Eastgate Christian Academy,New Gloucester,200690,200690,020069,0011507
8ca338b6-54c0-4807-a43c-fed6220558c2,Easton Junior/Senior HS,Easton,200340,200340,020034,0011595
63d5eef9-4afe-460b-a234-3b5ef6199aa8,Echols County High School,Statenville,112800,112800,011280,0006522
207c65f8-e59f-49df-9d53-404c4c093a87,Edgar High School,Edgar,500580,500580,050058,0027100
bf145037-0a9e-4e7c-9eb8-5ab423f98abd,Edgewater High School,Orlando,101290,101290,010129,0005271
26b644ec-312b-4de2-8836-ebc6057c2fa6,Elcho High School,Elcho,500590,500590,050059,0027101
057a1c84-e5a5-47a3-8f99-4d697f3ee039,Elkhorn Area High School,Elkhorn,500600,500600,050060,0026763
f801a2bc-bde6-4f7c-b66a-5e0385dc6e93,Elmwood High School,Elmwood,500620,500620,050062,0027216
3160f95a-e00e-415b-94be-0e5edb18e967,Emilio R Delgado High School,Corozal,541760,541760,054176,0021935
9f2e40df-60ff-41b6-994a-b8a3644714be,Encampment High School,Encampment,510130,510130,051013,0027582
d9a8cb76-c15e-4f25-8705-ac219d4d10b3,Episcopal Cathedral School,San Juan,545960,545960,054596,0021947
1d6c578b-d4fc-47aa-96cb-bb94c13c7e1d,Escuela Berwind Superior,Rio Piedras,544490,544490,054449,0021976
bfc5af09-84ee-22c7-d231-38b23bb0b19b,Escuela Dr Jose Celso Barbosa,San Juan,545120,545120,054512,
1fc9c558-21bc-4b36-b57c-686bc4887634,Escuela Dr Rafael Lopez Landrn,Guayama,541960,541960,054196,0021938
d2bcf912-2ac9-4dfa-b350-62c63a37c8a8,Escuela Elem/Sup Antolina Vele,Aguadilla,541140,541140,054114,3222909
8e89eae1-faa4-48ea-bb16-d0e13d53a869,Escuela Gerardo Selles Sola,Caguas,540000,540000,054000,3830573
