nces_id_12,calculus_offered,advmath_offered,chemistry_offered,physics_offered,stem_advanced_offered
010222000566,,,,,
010222000835,,,,,
010222000836,1.0,1.0,1.0,0.0,3.0
010222000837,,,,,
010222000838,,,,,
010222000842,,,,,
010222000843,0.0,1.0,1.0,0.0,2.0
010222000844,,,,,
010222000846,,,,,
010222000848,1.0,0.0,1.0,1.0,3.0
010222000850,,,,,
010222001411,,,,,
010222001412,,,,,
010222001433,,,,,
010222001513,,,,,
010222001683,1.0,0.0,1.0,0.0,2.0
010222001684,,,,,
010222001731,,,,,
010222001820,,,,,
010222001821,0.0,0.0,0.0,0.0,0.0
010222002082,,,,,
010222002163,,,,,
010222002178,,,,,
010222002376,,,,,
010222002479,0.0,1.0,1.0,1.0,3.0
010225000852,0.0,0.0,1.0,1.0,2.0
010225000856,0.0,0.0,1.0,0.0,1.0
010225000857,0.0,1.0,1.0,1.0,3.0
010231000861,0.0,1.0,1.0,0.0,2.0
010231000863,0.0,1.0,1.0,1.0,3.0
010231000865,,,,,
010231000866,0.0,1.0,1.0,0.0,2.0
010231000867,,,,,
010231000868,0.0,1.0,1.0,1.0,3.0
010231000869,0.0,1.0,1.0,1.0,3.0
010231000985,1.0,0.0,0.0,0.0,1.0
010231001455,,,,,
010231001552,,,,,
010231002160,,,,,
010235000890,,,,,
010235000891,0.0,0.0,1.0,1.0,2.0
010235000892,,,,,
010237000572,,,,,
010237000895,,,,,
010237000896,,,,,
010237000897,,,,,
010237000898,1.0,1.0,1.0,1.0,4.0
010237000899,1.0,1.0,1.0,1.0,4.0
010237000900,0.0,1.0,1.0,1.0,3.0
010237000901,,,,,
010237000904,,,,,
010237000906,1.0,1.0,1.0,1.0,4.0
010237000907,,,,,
010237000910,,,,,
010237000911,,,,,
010237000912,1.0,1.0,1.0,1.0,4.0
010237000913,,,,,
010237000914,,,,,
010237000915,,,,,
010237000916,,,,,
010237000919,,,,,
010237000920,,,,,
010237000922,,,,,
010237000924,,,,,
010237000927,,,,,
010237000928,,,,,
010237000930,,,,,
010237000931,,,,,
010237000932,,,,,
