ibo_school_id,ib_name,offers_dp,offers_cp,offers_myp,offers_pyp,programmes,ncessch,nces_name,city,state
60035,Hephzibah High School,f,f,t,f,MYP,1301549,Hephzibah High School,Hephzibah,GA 
60108,Hephzibah Middle School,f,f,t,f,MYP,1301554,Hephzibah Middle School,Hephzibah,GA 
2526,Herbert A. Ammons Middle School,f,f,t,f,MYP,1203163,HERBERT A. AMMONS MIDDLE SCHOOL,MIAMI,FL 
62716,Heritage High School,t,f,f,f,DP,1301591,Heritage High School,Conyers,GA 
62716,Heritage High School,t,f,f,f,DP,1705361,Heritage High School,Broadlands,IL 
62716,Heritage High School,t,f,f,f,DP,4700072,Heritage High School,Maryville,TN 
62716,Heritage High School,t,f,f,f,DP,5302711,Heritage High School,Vancouver,WA 
62716,Heritage High School,t,f,f,f,DP,0800881,Heritage High School,LITTLETON,CO 
62716,Heritage High School,t,f,f,f,DP,2606701,Heritage High School,SAGINAW,MI 
62716,Heritage High School,t,f,f,f,DP,1303688,Heritage High School,Ringgold,GA 
62716,Heritage High School,t,f,f,f,DP,1207530,HERITAGE HIGH SCHOOL,PALM BAY,FL 
62402,H. F. Hunt Middle School,f,f,t,f,MYP,,,,
3052,H. H. Dow High School,t,f,f,f,DP,,,,
4081,Hidden River Middle School,f,f,t,f,MYP,5302761,Hidden River Middle School,Snohomish,WA 
4081,Hidden River Middle School,f,f,t,f,MYP,2701621,Hidden River Middle School,SAINT PAUL,MN 
61199,Higher Learning Academy,f,f,f,t,PYP,0611916,Higher Learning Academy,Sacramento,CA 
3956,Highland High School,t,f,f,f,DP,3601192,HIGHLAND HIGH SCHOOL,HIGHLAND,NY 
3956,Highland High School,t,f,f,f,DP,0500491,HIGHLAND HIGH SCHOOL,HARDY,AR 
3956,Highland High School,t,f,f,f,DP,1702179,Highland High School,Highland,IL 
3956,Highland High School,t,f,f,f,DP,0400246,Highland High School,GILBERT,AZ 
3956,Highland High School,t,f,f,f,DP,1900839,Highland High School,Riverside,IA 
3956,Highland High School,t,f,f,f,DP,1800763,Highland High School,Highland,IN 
3956,Highland High School,t,f,f,f,DP,5302876,Highland High School,Cowiche,WA 
3956,Highland High School,t,f,f,f,DP,3903274,Highland High School,Medina,OH 
3956,Highland High School,t,f,f,f,DP,3903408,Highland High School,Marengo,OH 
3956,Highland High School,t,f,f,f,DP,0800050,Highland High School,AULT,CO 
3956,Highland High School,t,f,f,f,DP,1600472,HIGHLAND HIGH SCHOOL,POCATELLO,ID 
1934,Highland Park Elementary School,f,f,f,t,PYP,0101060,Highland Park Elementary School,Muscle Shoals,AL 
1934,Highland Park Elementary School,f,f,f,t,PYP,3901664,Highland Park Elementary School,Grove City,OH 
1934,Highland Park Elementary School,f,f,f,t,PYP,1802347,Highland Park Elementary School,Bloomington,IN 
1934,Highland Park Elementary School,f,f,f,t,PYP,5301183,Highland Park Elementary School,SEATTLE,WA 
1934,Highland Park Elementary School,f,f,f,t,PYP,0801048,Highland Park Elementary School,PUEBLO,CO 
4721,Highland Park Middle School,f,f,t,f,MYP,4101237,Highland Park Middle School,Beaverton,OR 
4721,Highland Park Middle School,f,f,t,f,MYP,2701591,Highland Park Middle School,SAINT PAUL,MN 
4721,Highland Park Middle School,f,f,t,f,MYP,3406118,Highland Park Middle School,HIGHLAND PARK,NJ 
745,Highland Park Senior High School,t,f,t,f,"MYP, DP",,,,
3484,High Meadows School,f,f,f,t,PYP,,,,
875,High Point Central High School,t,f,f,f,DP,,,,
51393,High Point Elementary School,f,f,f,t,PYP,1201627,HIGH POINT ELEMENTARY SCHOOL,CLEARWATER,FL 
51393,High Point Elementary School,f,f,f,t,PYP,3904348,High Point Elementary School,Gahanna,OH 
51393,High Point Elementary School,f,f,f,t,PYP,1301026,High Point Elementary School,Atlanta,GA 
2596,Highview School,f,f,f,t,PYP,3601045,HIGHVIEW SCHOOL,HARTSDALE,NY 
1395,Hillcrest High School,t,t,f,f,"DP, CP",0101766,Hillcrest High School,Evergreen,AL 
1395,Hillcrest High School,t,t,f,f,"DP, CP",1700365,Hillcrest High School,Country Club Hills,IL 
1395,Hillcrest High School,t,t,f,f,"DP, CP",3601965,HILLCREST HIGH SCHOOL,JAMAICA,NY 
1395,Hillcrest High School,t,t,f,f,"DP, CP",4702466,Hillcrest High School,Memphis,TN 
1395,Hillcrest High School,t,t,f,f,"DP, CP",1600024,HILLCREST HIGH SCHOOL,AMMON,ID 
1395,Hillcrest High School,t,t,f,f,"DP, CP",0100052,Hillcrest High School,Tuscaloosa,AL 
