name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
Hidden River Middle School,004081,false,true,false,false,MYP,true,English,https://ibo.org/school/004081/
High Meadows School,003484,true,false,false,false,PYP,true,English,https://ibo.org/school/003484/
High Point Central High School,000875,false,false,true,false,DP,true,English,https://ibo.org/school/000875/
High Point Elementary School,051393,true,false,false,false,PYP,true,English,https://ibo.org/school/051393/
Higher Learning Academy,061199,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/061199/
Highland High School,003956,false,false,true,false,DP,true,English,https://ibo.org/school/003956/
Highland Park Elementary School,001934,true,false,false,false,PYP,true,English,https://ibo.org/school/001934/
Highland Park Middle School,004721,false,true,false,false,MYP,true,English,https://ibo.org/school/004721/
Highland Park Senior High School,000745,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/000745/
Highview School,002596,true,false,false,false,PYP,true,English,https://ibo.org/school/002596/
Hill-Freedman World Academy,004591,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/004591/
Hillcrest High School,001395,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/001395/
Hillcrest High School,051680,false,false,true,false,DP,true,English,https://ibo.org/school/051680/
Hillsboro Comprehensive High School,002131,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/002131/
Hillsboro High School,001396,false,false,true,false,DP,true,English,https://ibo.org/school/001396/
Hillsborough High School,000601,false,false,true,false,DP,true,English,https://ibo.org/school/000601/
Hillside High School,000992,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/000992/
Hillside Middle School,049104,false,true,false,false,MYP,true,English,https://ibo.org/school/049104/
Hillside School,063210,false,true,false,false,MYP,true,English,https://ibo.org/school/063210/
Hilton Head Elementary School,001898,true,false,false,false,PYP,true,English,https://ibo.org/school/001898/
Hilton Head High School,000914,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/000914/
Hilton Head Island Middle School,006750,false,true,false,false,MYP,true,English,https://ibo.org/school/006750/
Hilton High School,001392,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/001392/
Hinkley High School,000853,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/000853/
Holmes High School,000273,false,false,true,false,DP,true,English,https://ibo.org/school/000273/
Holy Family Catholic Academy,051653,true,false,false,false,PYP,true,English,https://ibo.org/school/051653/
Holy Family Catholic School,050936,false,true,false,false,MYP,true,English,https://ibo.org/school/050936/
Homestead Middle School,004889,false,true,false,false,MYP,true,English,https://ibo.org/school/004889/
Homewood-Flossmoor High School District 233,007045,false,false,true,false,DP,true,English,https://ibo.org/school/007045/
Hoover High School,000876,false,false,true,false,DP,true,English,https://ibo.org/school/000876/
Hopkins Middle School,051362,false,true,false,false,MYP,true,English,https://ibo.org/school/051362/
Hopkins North Middle School,049403,false,true,false,false,MYP,true,"English, French",https://ibo.org/school/049403/
Hopkins West Middle School,049404,false,true,false,false,MYP,true,English,https://ibo.org/school/049404/
Horace Greeley High School,063776,false,false,false,true,CP,true,English,https://ibo.org/school/063776/
Horace Mann School,002423,true,false,false,false,PYP,true,English,https://ibo.org/school/002423/
Horizons-on-the-Hudson Magnet School,003845,true,false,false,false,PYP,true,English,https://ibo.org/school/003845/
Hot Springs Junior Academy,002065,false,true,false,false,MYP,true,English,https://ibo.org/school/002065/
Hot Springs World Class High School,001867,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/001867/
Howard Middle School,004766,false,true,false,false,MYP,true,English,https://ibo.org/school/004766/
Howell High School,060382,false,false,true,false,DP,true,English,https://ibo.org/school/060382/
Howell L. Watkins Middle School,060295,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/060295/
Hubbard High School,001059,false,false,true,false,DP,true,English,https://ibo.org/school/001059/
Hubbell Elementary School,004123,true,false,false,false,PYP,true,English,https://ibo.org/school/004123/
Hubert Howe Bancroft Middle School,050272,false,true,false,false,MYP,true,English,https://ibo.org/school/050272/
Huda Upper School,003844,false,true,false,false,MYP,true,English,https://ibo.org/school/003844/
Hudson Pep Elementary,061935,true,false,false,false,PYP,true,English,https://ibo.org/school/061935/
Huffman Elementary School,060426,true,false,false,false,PYP,true,"English, Chinese, Other",https://ibo.org/school/060426/
Humble High School,002992,false,false,true,false,DP,true,English,https://ibo.org/school/002992/
Hunters Lane High School,001273,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/001273/
